group,user
491,0.0
491,1.0
491,2.0
491,3.0
491,4.0
491,5.0
491,6.0
491,7.0
491,8.0
491,9.0
491,10.0
491,11.0
491,12.0
491,13.0
491,14.0
491,15.0
491,16.0
491,17.0
491,18.0
491,19.0
491,20.0
491,21.0
491,22.0
491,23.0
491,24.0
491,25.0
491,26.0
491,27.0
491,28.0
491,29.0
491,30.0
491,31.0
491,32.0
491,33.0
491,34.0
491,35.0
491,36.0
491,37.0
491,38.0
491,39.0
491,40.0
491,41.0
491,42.0
491,43.0
491,44.0
491,45.0
491,46.0
491,47.0
491,48.0
491,49.0
491,50.0
491,51.0
491,52.0
491,53.0
491,54.0
491,55.0
491,56.0
491,57.0
491,58.0
491,59.0
491,60.0
491,61.0
491,62.0
491,63.0
491,64.0
491,65.0
491,66.0
491,67.0
491,68.0
491,69.0
491,70.0
491,71.0
491,72.0
491,73.0
491,74.0
491,75.0
491,76.0
491,77.0
491,78.0
491,79.0
491,80.0
491,81.0
491,82.0
491,83.0
491,84.0
491,85.0
491,86.0
491,87.0
491,88.0
491,89.0
491,90.0
491,91.0
491,92.0
491,93.0
491,94.0
491,95.0
491,96.0
491,97.0
491,98.0
491,99.0
491,100.0
491,101.0
491,102.0
491,103.0
491,104.0
491,105.0
491,106.0
491,107.0
491,108.0
491,109.0
491,110.0
491,111.0
491,112.0
491,113.0
491,114.0
491,115.0
491,116.0
491,117.0
491,118.0
491,119.0
491,120.0
491,121.0
491,122.0
491,123.0
491,124.0
491,125.0
491,126.0
491,127.0
491,128.0
491,129.0
491,130.0
491,131.0
491,132.0
491,133.0
491,134.0
491,135.0
491,136.0
491,137.0
491,138.0
491,139.0
491,140.0
491,141.0
491,142.0
491,143.0
491,144.0
491,145.0
491,146.0
491,147.0
491,148.0
491,149.0
491,150.0
491,151.0
491,152.0
491,153.0
491,154.0
491,155.0
491,156.0
491,157.0
491,158.0
491,159.0
491,160.0
491,161.0
491,162.0
491,163.0
491,164.0
491,165.0
491,166.0
491,167.0
491,168.0
491,169.0
491,170.0
491,171.0
491,172.0
491,173.0
491,174.0
491,175.0
491,176.0
491,177.0
491,178.0
491,179.0
491,180.0
491,181.0
491,182.0
491,183.0
491,184.0
491,185.0
491,186.0
491,187.0
491,188.0
491,189.0
491,190.0
491,191.0
491,192.0
491,193.0
491,194.0
491,195.0
491,196.0
491,197.0
491,198.0
491,199.0
491,200.0
491,201.0
491,202.0
491,203.0
491,204.0
491,205.0
491,206.0
491,207.0
491,208.0
491,209.0
491,210.0
491,211.0
491,212.0
491,213.0
491,214.0
491,215.0
491,216.0
491,217.0
491,218.0
491,219.0
491,220.0
491,221.0
491,222.0
491,223.0
491,224.0
491,225.0
491,226.0
491,227.0
491,228.0
491,229.0
491,230.0
491,231.0
491,232.0
491,233.0
491,234.0
491,235.0
491,236.0
491,237.0
491,238.0
491,239.0
491,240.0
491,241.0
491,242.0
491,243.0
491,244.0
491,245.0
491,246.0
491,247.0
491,248.0
491,249.0
491,250.0
491,251.0
491,252.0
491,253.0
491,254.0
491,255.0
491,256.0
491,257.0
491,258.0
491,259.0
491,260.0
491,261.0
491,262.0
491,263.0
491,264.0
491,265.0
491,266.0
491,267.0
491,268.0
491,269.0
491,270.0
491,271.0
491,272.0
491,273.0
491,274.0
491,275.0
491,276.0
491,277.0
491,278.0
491,279.0
491,280.0
491,281.0
491,282.0
491,283.0
491,284.0
491,285.0
491,286.0
491,287.0
491,288.0
491,289.0
491,290.0
491,291.0
491,292.0
491,293.0
491,294.0
491,295.0
491,296.0
491,297.0
491,298.0
491,299.0
491,300.0
491,301.0
491,302.0
491,303.0
491,304.0
491,305.0
491,306.0
491,307.0
491,308.0
491,309.0
491,310.0
491,311.0
491,312.0
491,313.0
491,314.0
491,315.0
491,316.0
491,317.0
491,318.0
491,319.0
491,320.0
491,321.0
491,322.0
491,323.0
491,324.0
491,325.0
491,326.0
491,327.0
491,328.0
491,329.0
491,330.0
491,331.0
491,332.0
491,333.0
491,334.0
491,335.0
491,336.0
491,337.0
491,338.0
491,339.0
491,340.0
491,341.0
491,342.0
491,343.0
491,344.0
491,345.0
491,346.0
491,347.0
491,348.0
491,349.0
491,350.0
491,351.0
491,352.0
491,353.0
491,354.0
491,355.0
491,356.0
491,357.0
491,358.0
491,359.0
491,360.0
491,361.0
491,362.0
491,363.0
491,364.0
491,365.0
491,366.0
491,367.0
491,368.0
491,369.0
491,370.0
491,371.0
491,372.0
491,373.0
491,374.0
491,375.0
491,376.0
491,377.0
491,378.0
491,379.0
491,380.0
491,381.0
491,382.0
491,383.0
491,384.0
491,385.0
491,386.0
491,387.0
491,388.0
491,389.0
491,390.0
491,391.0
491,392.0
491,393.0
491,394.0
491,395.0
491,396.0
491,397.0
491,398.0
491,399.0
491,400.0
491,401.0
491,402.0
491,403.0
491,404.0
491,405.0
491,406.0
491,407.0
491,408.0
491,409.0
491,410.0
491,411.0
491,412.0
491,413.0
491,414.0
491,415.0
491,416.0
491,417.0
491,418.0
491,419.0
491,420.0
491,421.0
491,422.0
491,423.0
491,424.0
491,425.0
491,426.0
491,427.0
491,428.0
491,429.0
491,430.0
491,431.0
491,432.0
491,433.0
491,434.0
491,435.0
491,436.0
491,437.0
491,438.0
491,439.0
491,440.0
491,441.0
491,442.0
491,443.0
491,444.0
491,445.0
491,446.0
491,447.0
491,448.0
491,449.0
491,450.0
491,451.0
491,452.0
491,453.0
491,454.0
491,455.0
491,456.0
491,457.0
491,458.0
491,459.0
491,460.0
491,461.0
491,462.0
491,463.0
491,464.0
491,465.0
491,466.0
491,467.0
491,468.0
491,469.0
491,470.0
491,471.0
491,472.0
491,473.0
491,474.0
491,475.0
491,476.0
491,477.0
491,478.0
491,479.0
491,480.0
491,481.0
491,482.0
491,483.0
491,484.0
491,485.0
491,486.0
491,487.0
491,488.0
491,489.0
491,490.0
491,491.0
491,492.0
491,493.0
491,494.0
491,495.0
491,496.0
491,497.0
491,498.0
491,499.0
491,500.0
491,501.0
491,502.0
491,503.0
491,504.0
491,505.0
491,506.0
491,507.0
491,508.0
491,509.0
491,510.0
491,511.0
491,512.0
491,513.0
491,514.0
491,515.0
491,516.0
491,517.0
491,518.0
491,519.0
491,520.0
491,521.0
491,522.0
491,523.0
491,524.0
491,525.0
491,526.0
491,527.0
491,528.0
491,529.0
491,530.0
491,531.0
491,532.0
491,533.0
491,534.0
491,535.0
491,536.0
491,537.0
491,538.0
491,539.0
491,540.0
491,541.0
491,542.0
491,543.0
491,544.0
491,545.0
491,546.0
491,547.0
491,548.0
491,549.0
491,550.0
491,551.0
491,552.0
491,553.0
491,554.0
491,555.0
491,556.0
491,557.0
491,558.0
491,559.0
491,560.0
491,561.0
491,562.0
491,563.0
491,564.0
491,565.0
491,566.0
491,567.0
491,568.0
491,569.0
491,570.0
491,571.0
491,572.0
491,573.0
491,574.0
491,575.0
491,576.0
491,577.0
491,578.0
491,579.0
491,580.0
491,581.0
491,582.0
491,583.0
491,584.0
491,585.0
491,586.0
491,587.0
491,588.0
491,589.0
491,590.0
491,591.0
491,592.0
491,593.0
491,594.0
491,595.0
491,596.0
491,597.0
491,598.0
491,599.0
491,600.0
491,601.0
491,602.0
491,603.0
491,604.0
491,605.0
491,606.0
491,607.0
491,608.0
491,609.0
491,610.0
491,611.0
491,612.0
491,613.0
491,614.0
491,615.0
491,616.0
491,617.0
491,618.0
491,619.0
491,620.0
491,621.0
